"ten","ma_sp","don_vi","toi_thieu","gia_buon","gia_ban","so_luong","chat_lieu","kieu_loai","kich_co","mau_sac","xuat_xu","trang_thai","chieu_dai","chieu_rong","chieu_sau"
"Áo Born dài mỏng 4","AD17B4","chiếc",10,17000,22000,7,"Chưa rõ","Dài mỏng 4","12 tháng - 18 tháng","Xanh","Việt Nam","Enabled",,,
"Quần Born dài mỏng 4","QD16B4","chiếc",10,16000,21000,12,"Nỉ","Bình thường","18 tháng - 24 tháng","Đỏ","Việt Nam","Enabled",,,
"Áo Born nỉ 4","AN25B4","chiếc",10,25000,29000,12,"Nỉ","Bình thường","18 tháng - 24 tháng",,"Việt Nam","Enabled",,,
"Quần Born nỉ 4","QB23N4","chiếc",10,23000,28000,12,"Nỉ","Bình thường","18 tháng - 24 tháng",,"Việt Nam","Enabled",,,
"Áo cho con bú xịn","ACCB75X","chiếc",6,75000,85000,12,"Nỉ","Nhiều lớp","24m",,"Trung Quốc","Enabled",,,
"Áo Leoo màu dài 1","AD14LEO1","chiếc",10,14000,17000,,,,,,,,,,
"Quần Leoo màu dài 1","QD13LEO1","chiếc",10,13000,17000,,,,,,,,,,
"Áo Leoo màu dài 3","AD16LEO3","chiếc",10,16000,20000,,,,,,,,,,
"Quần Leoo màu dài 3","QD15LEO3","chiếc",10,15000,20000,,,,,,,,,,
"Áo Leoo trắng 3","AT15LEO3","chiếc",10,15000,20000,,,,,,,,,,
"Quần Leoo trắng 3","QT14LEO3","chiếc",10,14000,20000,,,,,,,,,,
"Quấn bụng Nhật","QB20JA","set 2",10,20000,30000,,,,,,,,,,
"Quần lót giấy cotton","QL22CT","gói",10,22000,28000,,,,,,,,,,
"Quần lót giấy đẹp","QL14GX","gói",10,14000,20000,,,,,,,,,,
"Quần lót giấy rẻ","QL4.5GR","gói",10,4500,8000,,,,,,,,,,
"Băng rốn","BR3.5HSP","hộp",2,35000,3500,,,,,,,,,,
"Bộ bao tay chân Mom's care","BTC22MC","bộ",10,22000,35000,,,,,,,,,,
"Bộ hình dán trang trí cánh tủ lạnh","DANTL15G","bộ",8,15000,15000,,,,,,,,,,
"Bộ bao tay chân Thái","BTC20TLA","bộ",12,20000,25000,,,,,,,,,,
"Cá ngựa ru ngủ Fisher Price","CNRN200FP","con",3,200000,240000,,,,,,,,,,
"Chăn lông Carter 1mx1,5m","CL210CART1.5","chiếc",3,210000,240000,,,,,,,,,,
"Chăn lông ss 2 lớp Carter","CL80CART2L","chiếc",5,80000,110000,,,,,,,,,,
"Chăn lưới xuất Nga 1mx1,5m","CLU120NGA","chiếc",6,120000,160000,,,,,,,,,,
"Chăn ủ bông mũ thú Carter","CUBMT90CART","chiếc",5,90000,130000,,,,,,,,,,
"Chăn ủ Minizone","CU120MIN","chiếc",3,120000,170000,,,,,,,,,,
"Chăn ủ Mom care chần bông","CU165MC","chiếc",5,165000,200000,,,,,,,,,,
"Chăn ủ quấn Swaddleme","CUQ110SWAD","chiếc",5,110000,140000,,,,,,,,,,
"Chăn ủ xô Nhật","CUX52JA","chiếc",5,52000,65000,,,,,,,,,,
"Chiếu cao su cho bé Lan Hương","CCS36HT","chiếc",5,36000,40000,,,,,,,,,,
"Chiếu cói bé","CC18B","chiếc",10,18000,25000,,,,,,,,,,
"Chiếu cói to","CC35T","chiếc",5,35000,42000,,,,,,,,,,
"Chiếu lưới nhỏ","CL12N","chiếc",10,12000,16000,,,,,,,,,,
"Chiếu lưới to","CL12T","chiếc",10,14000,18000,,,,,,,,,,
"Gen bụng mẹ rẻ","GB22R","chiếc",10,22000,28000,,,,,,,,,,
"Khăn mặt Gerber baby","KM28GERB","gói",12,28000,35000,,,,,,,,,,
"Khăn mặt siêu mềm trẻ em","KM18SM","chiếc",6,18000,25000,,,,,,,,,,
"Khăn sữa cao cấp 2 lớp","KS2L20","gói",20,18000,25000,,,,,,,,,,
"Khăn sữa cao cấp 3 lớp","KS3L23","gói",10,23000,30000,,,,,,,,,,
"Khăn sữa cao cấp 4 lớp","KS4L33","gói",10,33000,40000,,,,,,,,,,
"Khăn tam giác Mom's care","KTG56MC","set 3",10,56000,70000,,,,,,,,,,
"Khăn tắm xô cò 4L","KTX4L18CC","chiếc",10,18000,25000,,,,,,,,,,
"Khăn tắm xô Nhật 3L","KTX3L65JA","chiếc",10,65000,75000,,,,,,,,,,
